"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "TypeScript React", "JavaScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\ResponsiveDesign.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\TabularStyles.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\Theme.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 2, 28
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.tsx", "TypeScript React", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\appStyles.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Application.tsx", "TypeScript React", 0, 0, 0, 0, 73, 0, 0, 0, 0, 7, 80
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Styles.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Bots.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Styles.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.jsx", "JavaScript React", 0, 0, 0, 0, 0, 53, 0, 0, 4, 12, 69
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Test.jsx", "JavaScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\test2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 248, 0, 0, 133, 26, 407
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 4, 4, 49
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Styles.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddExchangeForm.tsx", "TypeScript React", 0, 0, 0, 0, 130, 0, 0, 0, 0, 17, 147
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddNew.tsx", "TypeScript React", 0, 0, 0, 0, 137, 0, 0, 0, 0, 19, 156
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddNewSelector.tsx", "TypeScript React", 0, 0, 0, 0, 89, 0, 0, 0, 0, 10, 99
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\Style.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\ExchangeStyles.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\EditExchangeForm.tsx", "TypeScript React", 0, 0, 0, 0, 155, 0, 0, 0, 0, 22, 177
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\ExchangeFormStyles.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\ListCurrent.tsx", "TypeScript React", 0, 0, 0, 0, 78, 0, 0, 0, 0, 12, 90
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\MyExchangeLineItem.tsx", "TypeScript React", 0, 0, 0, 0, 125, 0, 0, 0, 0, 16, 141
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\UseEventListener.tsx", "TypeScript React", 0, 0, 0, 0, 27, 0, 0, 0, 6, 1, 34
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\useCheckCurrentLocation.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 6, 17
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\BottomNav.tsx", "TypeScript React", 0, 0, 0, 0, 72, 0, 0, 0, 0, 8, 80
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\Styles.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\ActionItem\ActionItem.tsx", "TypeScript React", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\ActionItem\Styles.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 9, 94
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\SidebarNav.tsx", "TypeScript React", 0, 0, 0, 0, 76, 0, 0, 0, 1, 14, 91
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\Styles.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\Styles.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\TopNav.tsx", "TypeScript React", 0, 0, 0, 0, 116, 0, 0, 0, 0, 11, 127
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\Styles.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\TopNav.tsx", "TypeScript React", 0, 0, 0, 0, 134, 0, 0, 0, 0, 16, 150
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\Charts.tsx", "TypeScript React", 0, 0, 0, 0, 43, 0, 0, 0, 0, 9, 52
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\Styles.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\HoldingItem\HoldingItem.tsx", "TypeScript React", 0, 0, 0, 0, 86, 0, 0, 0, 0, 8, 94
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\Holdings.tsx", "TypeScript React", 0, 0, 0, 0, 59, 0, 0, 0, 0, 7, 66
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\MetaPortfolio.tsx", "TypeScript React", 0, 0, 0, 0, 201, 0, 0, 0, 2, 25, 228
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\Styles.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 1, 13, 94
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\OpenOrderItem\OpenOrderItem.tsx", "TypeScript React", 0, 0, 0, 0, 139, 0, 0, 0, 0, 13, 152
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\OpenOrders.tsx", "TypeScript React", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Portfolio.tsx", "TypeScript React", 0, 0, 0, 0, 84, 0, 0, 0, 0, 13, 97
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\Filter.tsx", "TypeScript React", 0, 0, 0, 0, 168, 0, 0, 0, 60, 17, 245
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\Styles.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Styles.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
